N,M,boltzmann_time,cauchy_time,log_cauchy_time
5000,2,0.254027,0.250063,0.204809
5000,122,0.340802,0.583268,0.340698
5000,242,0.563491,0.673143,0.796116
5000,362,0.782972,1.47773,0.781444
5000,482,1.32312,2.43087,2.13633
5000,602,1.19993,1.20063,1.20026
6500,2,0.153196,0.2128,0.301557
6500,122,0.688755,0.838534,0.533577
6500,242,0.735159,0.735091,1.55505
6500,362,1.02666,1.32754,1.02501
6500,482,1.71623,1.29484,1.29261
6500,602,1.9966,1.79088,1.57463
8450,2,0.753754,0.643323,0.819235
8450,122,0.667979,1.57394,0.75009
8450,242,0.956758,1.8917,1.43645
8450,362,1.33257,1.33113,1.32631
8450,482,1.69275,1.6914,1.69235
8450,602,3.16909,2.07331,2.0744
10985,2,0.851951,0.685195,0.665543
10985,122,1.53758,3.285,6.02846
10985,242,2.78583,1.23913,1.69689
10985,362,1.72632,2.74647,2.62298
10985,482,2.20743,2.20509,2.43043
10985,602,2.67312,2.67264,2.6729
14280,2,0.381216,0.315937,0.474801
14280,122,0.974935,3.59299,3.00989
14280,242,1.6258,1.62744,1.62685
14280,362,2.24221,2.24542,2.27366
14280,482,2.86882,5.46088,3.96381
14280,602,4.94468,3.50551,3.50437
18564,2,0.843119,1.10524,1.0347
18564,122,2.62204,5.31855,1.26746
18564,242,2.10787,2.10637,2.52392
18564,362,4.82773,3.33626,2.93287
18564,482,5.25215,3.77551,3.7634
18564,602,4.55691,4.56829,4.56656
24133,2,1.12608,0.728015,1.28496
24133,122,1.6503,12.5502,3.83766
24133,242,3.25895,2.73121,4.99191
24133,362,4.00419,3.80916,3.83301
24133,482,4.8972,9.04712,4.89878
24133,602,7.81076,5.96146,9.56232
31372,2,2.33889,1.62401,1.99427
31372,122,5.77861,2.51828,2.14407
31372,242,3.56608,8.19876,4.84751
31372,362,4.97487,5.05819,4.96087
31372,482,8.72598,11.0529,6.35035
31372,602,10.9442,7.74433,13.8534
40783,2,7.28627,3.72778,4.82114
40783,122,4.90854,13.6966,7.34687
40783,242,6.14251,8.03383,4.61595
40783,362,6.43201,11.622,6.45991
40783,482,8.66583,10.4267,8.26685
40783,602,10.0807,10.0481,13.4707
53017,2,1.68906,2.92927,2.83394
53017,122,3.88165,9.37421,3.63068
53017,242,6.08206,7.46059,12.005
53017,362,8.38096,10.555,8.39971
53017,482,10.7777,10.7573,20.4261
53017,602,13.0904,13.09,23.6873
68922,2,4.48897,13.8557,13.7668
68922,122,4.7183,7.64133,19.127
68922,242,7.82079,7.83883,17.6256
68922,362,28.5828,20.3807,15.4293
68922,482,13.9605,13.9573,13.9439
68922,602,33.2844,17.0229,16.9956
89598,2,6.68933,5.7532,6.94077
89598,122,10.0208,14.7886,6.1178
89598,242,10.1859,23.3542,10.1534
89598,362,14.1665,14.9386,14.1859
89598,482,18.2319,18.2265,28.0798
89598,602,22.1716,37.1992,26.1867
116477,2,7.04499,4.26101,7.14578
116477,122,29.1315,17.3821,14.3773
116477,242,13.2559,51.368,19.758
116477,362,18.4238,18.4291,29.7729
116477,482,54.0844,30.3889,57.5231
116477,602,28.7,28.6786,28.6628
151420,2,27.4103,17.4233,25.0918
151420,122,15.8353,10.4004,10.3587
151420,242,22.116,17.1809,17.2042
151420,362,24.0466,47.3151,23.9951
151420,482,30.8395,33.7691,30.6981
151420,602,53.7133,37.2112,53.6336
196846,2,11.3393,41.7393,48.3327
196846,122,13.455,15.6355,13.4504
196846,242,32.6256,22.3941,38.2645
196846,362,31.2896,31.2049,31.2264
196846,482,40.507,39.941,77.41
196846,602,48.6006,48.5788,88.1649
